Id,NameHCR,RSSDHCR,Excl_Specialty,Excl_Foreign,Excl_Nocore,Excl_Noloans,Excl_Credit,CERT,NameFull,Address,City,Stalp,Zip,Stcnty,Year,Callym,CB,Asset,HCAsset,Size,ForAsset,LoanToAsset,CoreRatio,Max_Deposits,Office_Count,Unique_Metros,State_Count,Business_Line,Meets_LTA,Meets_Core,Meets_Deposits,Meets_Offices,Meets_LrgMSA,Meets_States,Run_Date
35095,,,0,0,0,0,0,35095,TOWNE BANK,5716 HIGH ST.,PORTSMOUTH,VA,23703,51740,2021,202112,0,"16,361,399","16,361,399",L,,59.64%,83.36%,1108986,44,5,2,Commercial Real Estate Lending Specialization,1,1,1,1,0,1,20220310
35101,BUCKEYE BANCSHARES INC,0002836294,0,0,0,0,0,35101,BUCKEYE COMMUNITY BANK,105 SHEFFIELD CTR.,LORAIN,OH,44055,39093,2021,202112,1,"206,095","206,095",S,,73.11%,84.08%,188670,1,1,1,Multi Specialty Lender,NA,NA,NA,NA,NA,NA,20220310
35103,IDAHO TRUST BCORP,0003439713,0,0,0,0,0,35103,IDAHO TRUST BANK,888 W. BROAD ST.,BOISE,ID,83702,16001,2021,202112,1,"206,820","206,820",S,,48.43%,88.71%,159614,2,1,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35109,MCLAUGHLIN HOLDING CO,0001203161,0,0,0,0,0,35109,SENB BANK,3535 AVE. OF THE CITIES,MOLINE,IL,61265,17161,2021,202112,1,"373,572","373,572",S,,58.57%,78.29%,146747,6,0,3,Multi Specialty Lender,NA,NA,NA,NA,NA,NA,20220310
35111,VILLAGE B&T FINANCIAL CORP,0003251027,0,0,0,0,0,35111,VILLAGE BANK,13531 MIDLOTHIAN TURNPIKE,MIDLOTHIAN,VA,23113,51041,2021,202112,1,"746,175","746,175",S,,70.78%,89.08%,172956,9,2,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35115,AUTO CLUB GROUP THE,0004265508,0,0,0,0,0,35115,"AUTO CLUB TRUST, FSB",ONE AUTO CLUB DR.,DEARBORN,MI,48126,26163,2021,202112,1,"579,580","579,580",S,,48.03%,49.02%,390883,1,1,1,Other Consumer Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35117,CENTERGROUP FINANCIAL INC,0004415693,0,0,0,0,0,35117,CENTERBANK,744 STATE RT. 28,MILFORD,OH,45150,39025,2021,202112,1,"272,037","272,037",S,,82.43%,77.24%,141966,3,1,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35118,COMMUNITY STATE BANCSHARES INC,0002774305,0,0,0,0,0,35118,"COMMUNITY BANK OF WICHITA, INC.",11330 E. 21ST ST.,WICHITA,KS,67206,20173,2021,202112,1,"103,562","103,562",S,,71.27%,91.55%,73795,2,1,1,Multi Specialty Lender,NA,NA,NA,NA,NA,NA,20220310
35131,SV FINANCIAL INC,0003093919,0,0,0,0,0,35131,SAUK VALLEY BANK & TRUST COMPANY,201 W. 3RD ST.,STERLING,IL,61081,17195,2021,202112,1,"583,065","583,065",S,,61.26%,80.69%,274970,7,1,1,Ag Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
5216570,PBD HOLDINGS LLC,0005216570,0,0,0,0,0,35138,MILLENNIUM BANK,6392 ARTESIAN CIR,OOLTEWAH,TN,37363,47065,2021,202112,1,"550,549","780,795",S,,61.22%,90.25%,124287,14,2,3,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
